elapsed_month,value,label
0,0.0,not_linked
1,0.9,not_linked
2,0.666667,not_linked
3,0.6,not_linked
4,1.0,not_linked
5,0.75,not_linked
6,1.0,not_linked
7,0.75,not_linked
8,1.0,not_linked
9,0.75,not_linked
10,0.8,not_linked
11,0.833333,not_linked
12,1.0,not_linked
13,0.0,not_linked
14,0.6,not_linked
15,0.8,not_linked
16,0.666667,not_linked
17,1.0,not_linked
18,0.5,not_linked
19,0.666667,not_linked
20,0.0,not_linked
21,0.666667,not_linked
22,0.857143,not_linked
23,0.0,not_linked
24,0.0,not_linked
25,0.0,not_linked
26,1.0,not_linked
27,1.0,not_linked
28,1.0,not_linked
29,1.0,not_linked
30,0.666667,not_linked
31,1.0,not_linked
32,1.0,not_linked
33,0.75,not_linked
34,0.5,not_linked
35,0.833333,not_linked
0,0.0,linked
1,0.1,linked
2,0.333333,linked
3,0.4,linked
4,0.0,linked
5,0.25,linked
6,0.0,linked
7,0.25,linked
8,0.0,linked
9,0.25,linked
10,0.2,linked
11,0.166667,linked
12,0.0,linked
13,1.0,linked
14,0.4,linked
15,0.2,linked
16,0.333333,linked
17,0.0,linked
18,0.5,linked
19,0.333333,linked
20,0.0,linked
21,0.333333,linked
22,0.142857,linked
23,0.0,linked
24,0.0,linked
25,0.0,linked
26,0.0,linked
27,0.0,linked
28,0.0,linked
29,0.0,linked
30,0.333333,linked
31,0.0,linked
32,0.0,linked
33,0.25,linked
34,0.5,linked
35,0.166667,linked
0,0.0,total
1,1.0,total
2,1.0,total
3,1.0,total
4,1.0,total
5,1.0,total
6,1.0,total
7,1.0,total
8,1.0,total
9,1.0,total
10,1.0,total
11,1.0,total
12,1.0,total
13,1.0,total
14,1.0,total
15,1.0,total
16,1.0,total
17,1.0,total
18,1.0,total
19,1.0,total
20,0.0,total
21,1.0,total
22,1.0,total
23,0.0,total
24,0.0,total
25,0.0,total
26,1.0,total
27,1.0,total
28,1.0,total
29,1.0,total
30,1.0,total
31,1.0,total
32,1.0,total
33,1.0,total
34,1.0,total
35,1.0,total
